slug,coach,coach_id,ending,total_games,total_wins,total_losses,start_rating,end_rating,improvement,top,bottom,middle,last_improvement
portete01c|03|05|MIL,Terry Porter,portete01c,fired,164.0,71.0,93.0,1493.1877,1368.4817,-124.706,1547.3345,1368.4817,1490.8351,-115.8988
stottte99c|05|07|MIL,Terry Stotts,stottte99c,fired,146.0,63.0,83.0,1419.8776,1403.1716,-16.706,1529.0914,1363.0985,1446.58345,-97.9932
krystla01c|07|08|MIL,Larry Krystkowiak,krystla01c,fired,100.0,31.0,69.0,1424.2686,1278.8849,-145.3837,1434.5602,1278.8849,1374.03,-86.5076
skilesc01c|08|13|MIL,Scott Skiles,skilesc01c,mutual,344.0,162.0,182.0,1330.7054,1474.6658,143.9604,1584.3243,1330.7054,1475.6307,-45.7203
boylaji99c|13|13|MIL,Jim Boylan,boylaji99c,interim only,50.0,22.0,28.0,1479.9662,1437.8136,-42.1526,1524.4414,1416.4331,1473.8514,-42.1526
drewla01c|13|14|MIL,Larry Drew,drewla01c,fired,82.0,15.0,67.0,1442.7881,1255.4655,-187.3226,1455.7802,1255.4655,1311.10355,-187.3226
kiddja01c|14|17|MIL,Jason Kidd,kiddja01c,,272.0,131.0,141.0,1316.6272,1525.9177987,209.2905987,1550.3455,1316.6272,1458.48912872,4.85753016
saundfl99c|00|05|MIN,Flip Saunders,saundfl99c,fired,379.0,231.0,148.0,1561.5936,1478.384,-83.2096,1695.3839,1478.384,1575.7369,-145.4971
mchalke01c|05|05|MIN,Kevin McHale,mchalke01c,resigned,31.0,19.0,12.0,1470.1179,1558.9712,88.8533,1560.2705,1470.1179,1500.0121,88.8533
caseydw99c|05|07|MIN,Dwane Casey,caseydw99c,fired,122.0,53.0,69.0,1547.5425,1463.3104,-84.2321,1577.5343,1403.6969,1472.574,23.4774
wittmra01c|07|08|MIN,Randy Wittman,wittmra01c,fired,143.0,38.0,105.0,1458.1047,1355.6228,-102.4819,1491.7966,1280.554,1352.8939,-41.6129
mchalke01c|08|09|MIN,Kevin McHale,mchalke01c,fired,63.0,20.0,43.0,1352.1935,1326.1898,-26.0037,1437.7222,1316.4609,1345.2377,-26.0037
rambiku01c|09|11|MIN,Kurt Rambis,rambiku01c,fired,164.0,32.0,132.0,1375.4215,1269.3463,-106.0752,1375.4215,1241.9395,1309.09375,-33.5281
adelmri01c|11|14|MIN,Rick Adelman,adelmri01c,retired,230.0,97.0,133.0,1325.604,1516.1139,190.5099,1588.3241,1322.3868,1465.19325,42.4934
saundfl99c|14|15|MIN,Flip Saunders,saundfl99c,died,82.0,16.0,66.0,1510.2198,1263.958,-246.2618,1520.7645,1263.958,1349.2105,-246.2618
mitchsa01c|15|16|MIN,Sam Mitchell,mitchsa01c,interim only,82.0,29.0,53.0,1330.0828188,1410.639317,80.5564982,1412.590379,1323.37288826,1364.69180723,80.5564982
thiboto99c|16|17|MIN,Tom Thibodeau,thiboto99c,,111.0,48.0,63.0,1430.39069688,1513.46042879,83.06973191,1539.36699292,1396.19057321,1459.11975894,42.79022548
scottby01c|00|04|NJNBRK,Byron Scott,scottby01c,fired,288.0,149.0,139.0,1436.5286,1539.5973,103.0687,1664.3267,1330.7146,1557.5892,-38.9518
frankla99c|04|09|NJNBRK,Lawrence Frank,frankla99c,fired,466.0,225.0,241.0,1556.3198,1352.8778,-203.442,1644.8108,1352.8778,1466.75245,-96.2072
barrito99c|09|09|NJNBRK,Tom Barrise,barrito99c,interim only,2.0,0.0,2.0,1351.2306,1345.0425,-6.1881,1351.2306,1345.0425,1348.13655,-6.1881
vandeki01c|09|10|NJNBRK,Kiki Vandeweghe,vandeki01c,interim only,64.0,12.0,52.0,1353.998,1301.5269,-52.4711,1357.9937,1230.8779,1278.2597,-52.4711
johnsav01c|10|12|NJNBRK,Avery Johnson,johnsav01c,fired,176.0,60.0,116.0,1356.7974,1440.8363,84.0389,1501.4766,1301.3468,1350.3391,62.1444
carlepj99c|12|13|NJNBRK,P.J. Carlesimo,carlepj99c,interim only,54.0,35.0,19.0,1444.2889,1579.9078,135.6189,1585.208,1442.5884,1523.236,135.6189
kiddja01c|13|14|NJNBRK,Jason Kidd,kiddja01c,traded,82.0,44.0,38.0,1540.1724,1511.7699,-28.4025,1580.3517,1412.7054,1502.8956,-28.4025
hollili01c|14|16|NJNBRK,Lionel Hollins,hollili01c,fired,119.0,48.0,71.0,1502.0939,1358.6513875,-143.4425125,1534.8898,1358.6513875,1450.3572,-97.65474068
brownto01c|16|16|NJNBRK,Tony Brown,brownto01c,interim only,45.0,11.0,34.0,1353.68985471,1288.98013097,-64.70972374,1361.43519994,1288.98013097,1330.69363917,-64.70972374
