franchise,team,year,coaches_text,coach,coach_id,wins,losses,games,order
VANMEM,MEM,2003,"S. Lowe (0-8), H. Brown (28-46)",S. Lowe,lowesi01c,0,8,8,1
VANMEM,MEM,2002,S. Lowe (23-59),S. Lowe,lowesi01c,23,59,82,1
VANMEM,VAN,2001,S. Lowe (23-59),S. Lowe,lowesi01c,23,59,82,1
BOS,BOS,2018,B. Stevens (24-6),B. Stevens,stevebr99c,24,6,30,1
BOS,BOS,2017,B. Stevens (53-29),B. Stevens,stevebr99c,53,29,82,1
BOS,BOS,2016,B. Stevens (48-34),B. Stevens,stevebr99c,48,34,82,1
BOS,BOS,2015,B. Stevens (40-42),B. Stevens,stevebr99c,40,42,82,1
BOS,BOS,2014,B. Stevens (25-57),B. Stevens,stevebr99c,25,57,82,1
BOS,BOS,2013,D. Rivers (41-40),D. Rivers,riverdo01c,41,40,81,1
BOS,BOS,2012,D. Rivers (39-27),D. Rivers,riverdo01c,39,27,66,1
BOS,BOS,2011,D. Rivers (56-26),D. Rivers,riverdo01c,56,26,82,1
BOS,BOS,2010,D. Rivers (50-32),D. Rivers,riverdo01c,50,32,82,1
BOS,BOS,2009,D. Rivers (62-20),D. Rivers,riverdo01c,62,20,82,1
BOS,BOS,2008,D. Rivers (66-16),D. Rivers,riverdo01c,66,16,82,1
BOS,BOS,2007,D. Rivers (24-58),D. Rivers,riverdo01c,24,58,82,1
BOS,BOS,2006,D. Rivers (33-49),D. Rivers,riverdo01c,33,49,82,1
BOS,BOS,2005,D. Rivers (45-37),D. Rivers,riverdo01c,45,37,82,1
BOS,BOS,2004,"J. O'Brien (22-24), J. Carroll (14-22)",J. Carroll,carrojo99c,14,22,36,2
BOS,BOS,2004,"J. O'Brien (22-24), J. Carroll (14-22)",J. O'Brien,obrieji99c,22,24,46,1
BOS,BOS,2003,J. O'Brien (44-38),J. O'Brien,obrieji99c,44,38,82,1
BOS,BOS,2002,J. O'Brien (49-33),J. O'Brien,obrieji99c,49,33,82,1
BOS,BOS,2001,"R. Pitino (12-22), J. O'Brien (24-24)",J. O'Brien,obrieji99c,24,24,48,2
BOS,BOS,2001,"R. Pitino (12-22), J. O'Brien (24-24)",R. Pitino,pitinri99c,12,22,34,1
NJNBRK,BRK,2018,K. Atkinson (11-16),K. Atkinson,atkinke01c,11,16,27,1
NJNBRK,BRK,2017,K. Atkinson (20-62),K. Atkinson,atkinke01c,20,62,82,1
