franchise,team,year,coaches_text,coaches_id
PHI,PHI,1967,A. Hannum (68-13),hannual01c
PHI,PHI,1966,D. Schayes (55-25),schaydo01c
PHI,PHI,1965,D. Schayes (40-40),schaydo01c
PHI,PHI,1964,D. Schayes (34-46),schaydo01c
PHI,PHI,1963,A. Hannum (48-32),hannual01c
PHI,PHI,1962,A. Hannum (41-39),hannual01c
PHI,PHI,1961,A. Hannum (38-41),hannual01c
PHI,PHI,1960,P. Seymour (45-30),seymopa01c
PHI,PHI,1959,P. Seymour (35-37),seymopa01c
PHI,PHI,1958,P. Seymour (41-31),seymopa01c
PHI,PHI,1957,"A. Cervi (4-8), P. Seymour (34-26)",cervial01c|seymopa01c
PHI,PHI,1956,A. Cervi (35-37),cervial01c
PHI,PHI,1955,A. Cervi (43-29),cervial01c
PHI,PHI,1954,A. Cervi (42-30),cervial01c
PHI,PHI,1953,A. Cervi (47-24),cervial01c
PHI,PHI,1952,A. Cervi (40-26),cervial01c
PHI,PHI,1951,A. Cervi (32-34),cervial01c
PHI,PHI,1950,A. Cervi (51-13),cervial01c
PHO,PHO,2018,"E. Watson (0-3), J. Triano (9-18)",watsoea01c|trianja99c
PHO,PHO,2017,E. Watson (24-58),watsoea01c
PHO,PHO,2016,"J. Hornacek (14-35), E. Watson (9-24)",hornaje01c|watsoea01c
PHO,PHO,2015,J. Hornacek (39-43),hornaje01c
PHO,PHO,2014,J. Hornacek (48-34),hornaje01c
PHO,PHO,2013,"A. Gentry (13-28), L. Hunter (12-29)",gentral99c|hunteli01c
PHO,PHO,2012,A. Gentry (33-33),gentral99c
PHO,PHO,2011,A. Gentry (40-42),gentral99c
PHO,PHO,2010,A. Gentry (54-28),gentral99c
PHO,PHO,2009,"T. Porter (28-23), A. Gentry (18-13)",portete01c|gentral99c
PHO,PHO,2008,M. D'Antoni (55-27),dantomi01c
PHO,PHO,2007,M. D'Antoni (61-21),dantomi01c
PHO,PHO,2006,M. D'Antoni (54-28),dantomi01c
PHO,PHO,2005,M. D'Antoni (62-20),dantomi01c
PHO,PHO,2004,"F. Johnson (8-13), M. D'Antoni (21-40)",johnsfr01c|dantomi01c
PHO,PHO,2003,F. Johnson (44-38),johnsfr01c
PHO,PHO,2002,"S. Skiles (25-26), F. Johnson (11-20)",skilesc01c|johnsfr01c
PHO,PHO,2001,S. Skiles (51-31),skilesc01c
PHO,PHO,2000,"D. Ainge (13-7), S. Skiles (40-22)",aingeda01c|skilesc01c
PHO,PHO,1999,D. Ainge (27-23),aingeda01c
PHO,PHO,1998,D. Ainge (56-26),aingeda01c
PHO,PHO,1997,"C. Fitzsimmons (0-8), D. Ainge (40-34)",fitzsco99c|aingeda01c
PHO,PHO,1996,"P. Westphal (14-19), C. Fitzsimmons (27-22)",westppa01c|fitzsco99c
PHO,PHO,1995,P. Westphal (59-23),westppa01c
PHO,PHO,1994,P. Westphal (56-26),westppa01c
PHO,PHO,1993,P. Westphal (62-20),westppa01c
PHO,PHO,1992,C. Fitzsimmons (53-29),fitzsco99c
PHO,PHO,1991,C. Fitzsimmons (55-27),fitzsco99c
PHO,PHO,1990,C. Fitzsimmons (54-28),fitzsco99c
PHO,PHO,1989,C. Fitzsimmons (55-27),fitzsco99c
PHO,PHO,1988,J. Wetzel (28-54),wetzejo01c
PHO,PHO,1987,"J. MacLeod (22-34), D. Van Arsdale (14-12)",maclejo99c|vanardi01c
PHO,PHO,1986,J. MacLeod (32-50),maclejo99c
PHO,PHO,1985,J. MacLeod (36-46),maclejo99c
PHO,PHO,1984,J. MacLeod (41-41),maclejo99c
PHO,PHO,1983,J. MacLeod (53-29),maclejo99c
PHO,PHO,1982,J. MacLeod (46-36),maclejo99c
PHO,PHO,1981,J. MacLeod (57-25),maclejo99c
PHO,PHO,1980,J. MacLeod (55-27),maclejo99c
PHO,PHO,1979,J. MacLeod (50-32),maclejo99c
PHO,PHO,1978,J. MacLeod (49-33),maclejo99c
PHO,PHO,1977,J. MacLeod (34-48),maclejo99c
