coach.id,name,tenure.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug,tenure.ending,interim.promoted
cartebu01c,Butch Carter,560,TOR,1998,2000,73,92,165,cartebu01c_TOR_1998_2000,fired,
wilkele01c,Lenny Wilkens,561,TOR,2001,2003,113,133,246,wilkele01c_TOR_2001_2003,fired,
oneilke99c,Kevin O'Neill,562,TOR,2004,2004,33,49,82,oneilke99c_TOR_2004_2004,fired,
mitchsa01c,Sam Mitchell,563,TOR,2005,2009,156,189,345,mitchsa01c_TOR_2005_2009,fired,
trianja99c,Jay Triano,564,TOR,2009,2011,87,142,229,trianja99c_TOR_2009_2011,contract expired,
caseydw99c,Dwane Casey,565,TOR,2012,2018,320,238,558,caseydw99c_TOR_2012_2018,fired,
nurseni01c,Nick Nurse,566,TOR,2019,2020,104,42,146,nurseni01c_TOR_2019_2020,,
sloanje01c,Jerry Sloan,573,UTA,1989,2011,1127,682,1809,sloanje01c_UTA_1989_2011,resigned,
corbity01c,Tyrone Corbin,574,UTA,2011,2014,112,146,258,corbity01c_UTA_2011_2014,fired,
snydequ01c,Quin Snyder,575,UTA,2015,2020,268,206,474,snydequ01c_UTA_2015_2020,,
heardga01c,Gar Heard,593,WAS,2000,2000,14,30,44,heardga01c_WAS_2000_2000,fired,
walkeda01c,Darrell Walker,594,WAS,2000,2000,15,23,38,walkeda01c_WAS_2000_2000,interim only,
hamille99c,Leonard Hamilton,595,WAS,2001,2001,19,63,82,hamille99c_WAS_2001_2001,resigned,
collido01c,Doug Collins,596,WAS,2002,2003,74,90,164,collido01c_WAS_2002_2003,fired,
jordaed01c,Eddie Jordan,597,WAS,2004,2009,197,224,421,jordaed01c_WAS_2004_2009,fired,
tapsced99c,Ed Tapscott,598,WAS,2009,2009,18,53,71,tapsced99c_WAS_2009_2009,fired,
saundfl99c,Flip Saunders,599,WAS,2010,2012,51,130,181,saundfl99c_WAS_2010_2012,fired,
wittmra01c,Randy Wittman,600,WAS,2012,2016,178,199,377,wittmra01c_WAS_2012_2016,fired,
brooksc01c,Scott Brooks,601,WAS,2017,2020,148,162,310,brooksc01c_WAS_2017_2020,,
