franchise,team,season,game_num,date,result
ATL,ATL,2007,78,2007-04-10,W
ATL,ATL,2007,79,2007-04-13,L
ATL,ATL,2007,80,2007-04-14,L
ATL,ATL,2007,81,2007-04-16,L
ATL,ATL,2007,82,2007-04-17,W
ATL,ATL,2008,1,2007-11-02,W
ATL,ATL,2008,2,2007-11-04,L
ATL,ATL,2008,3,2007-11-06,L
ATL,ATL,2008,4,2007-11-07,W
ATL,ATL,2008,5,2007-11-09,L
ATL,ATL,2008,6,2007-11-11,L
ATL,ATL,2008,7,2007-11-14,W
ATL,ATL,2008,8,2007-11-16,L
ATL,ATL,2008,9,2007-11-17,L
ATL,ATL,2008,10,2007-11-20,L
ATL,ATL,2008,11,2007-11-21,W
ATL,ATL,2008,12,2007-11-24,W
ATL,ATL,2008,13,2007-11-27,L
ATL,ATL,2008,14,2007-11-28,W
ATL,ATL,2008,15,2007-11-30,L
ATL,ATL,2008,16,2007-12-03,W
ATL,ATL,2008,17,2007-12-04,L
ATL,ATL,2008,18,2007-12-06,W
ATL,ATL,2008,19,2007-12-08,W
ATL,ATL,2008,20,2007-12-10,W
ATL,ATL,2008,21,2007-12-11,L
ATL,ATL,2008,22,2007-12-14,L
ATL,ATL,2008,23,2007-12-15,W
ATL,ATL,2008,24,2007-12-17,W
ATL,ATL,2008,25,2007-12-19,W
ATL,ATL,2008,26,2007-12-21,W
ATL,ATL,2008,27,2007-12-26,W
ATL,ATL,2008,28,2007-12-29,L
ATL,ATL,2008,29,2008-01-02,L
ATL,ATL,2008,30,2008-01-04,L
ATL,ATL,2008,31,2008-01-05,L
ATL,ATL,2008,32,2008-01-09,W
ATL,ATL,2008,33,2008-01-11,L
ATL,ATL,2008,34,2008-01-13,W
ATL,ATL,2008,35,2008-01-15,W
ATL,ATL,2008,36,2008-01-16,L
ATL,ATL,2008,37,2008-01-18,L
ATL,ATL,2008,38,2008-01-21,L
ATL,ATL,2008,39,2008-01-23,L
ATL,ATL,2008,40,2008-01-25,W
ATL,ATL,2008,41,2008-01-27,L
ATL,ATL,2008,42,2008-01-29,L
ATL,ATL,2008,43,2008-01-30,L
ATL,ATL,2008,44,2008-02-02,W
ATL,ATL,2008,45,2008-02-04,W
ATL,ATL,2008,46,2008-02-06,W
ATL,ATL,2008,47,2008-02-08,L
ATL,ATL,2008,48,2008-02-09,L
ATL,ATL,2008,49,2008-02-12,L
ATL,ATL,2008,50,2008-02-13,L
ATL,ATL,2008,51,2008-02-19,L
ATL,ATL,2008,52,2008-02-20,L
ATL,ATL,2008,53,2008-02-22,W
ATL,ATL,2008,54,2008-02-23,L
ATL,ATL,2008,55,2008-02-25,L
ATL,ATL,2008,56,2008-02-27,W
ATL,ATL,2008,57,2008-02-29,W
