franchise,team,year,coaches_text,name,wins,losses,total_games,order
SAS,SAS,2006,G. Popovich (63-19),G. Popovich,63,19,82,1
SAS,SAS,2005,G. Popovich (59-23),G. Popovich,59,23,82,1
SAS,SAS,2004,G. Popovich (57-25),G. Popovich,57,25,82,1
SAS,SAS,2003,G. Popovich (60-22),G. Popovich,60,22,82,1
SAS,SAS,2002,G. Popovich (58-24),G. Popovich,58,24,82,1
SAS,SAS,2001,G. Popovich (58-24),G. Popovich,58,24,82,1
TOR,TOR,2017,D. Casey (51-31),D. Casey,51,31,82,1
TOR,TOR,2016,D. Casey (56-26),D. Casey,56,26,82,1
TOR,TOR,2015,D. Casey (49-33),D. Casey,49,33,82,1
TOR,TOR,2014,D. Casey (48-34),D. Casey,48,34,82,1
TOR,TOR,2013,D. Casey (34-48),D. Casey,34,48,82,1
TOR,TOR,2012,D. Casey (23-43),D. Casey,23,43,66,1
TOR,TOR,2011,J. Triano (22-60),J. Triano,22,60,82,1
TOR,TOR,2010,J. Triano (40-42),J. Triano,40,42,82,1
TOR,TOR,2009,"S. Mitchell (8-9), J. Triano (25-40)",J. Triano,25,40,65,2
TOR,TOR,2009,"S. Mitchell (8-9), J. Triano (25-40)",S. Mitchell,8,9,17,1
TOR,TOR,2008,S. Mitchell (41-41),S. Mitchell,41,41,82,1
TOR,TOR,2007,S. Mitchell (47-35),S. Mitchell,47,35,82,1
TOR,TOR,2006,S. Mitchell (27-55),S. Mitchell,27,55,82,1
TOR,TOR,2005,S. Mitchell (33-49),S. Mitchell,33,49,82,1
TOR,TOR,2004,K. O'Neill (33-49),K. O'Neill,33,49,82,1
TOR,TOR,2003,L. Wilkens (24-58),L. Wilkens,24,58,82,1
TOR,TOR,2002,L. Wilkens (42-40),L. Wilkens,42,40,82,1
TOR,TOR,2001,L. Wilkens (47-35),L. Wilkens,47,35,82,1
UTA,UTA,2017,Q. Snyder (51-31),Q. Snyder,51,31,82,1
UTA,UTA,2016,Q. Snyder (40-42),Q. Snyder,40,42,82,1
UTA,UTA,2015,Q. Snyder (38-44),Q. Snyder,38,44,82,1
UTA,UTA,2014,T. Corbin (25-57),T. Corbin,25,57,82,1
UTA,UTA,2013,T. Corbin (43-39),T. Corbin,43,39,82,1
UTA,UTA,2012,T. Corbin (36-30),T. Corbin,36,30,66,1
UTA,UTA,2011,"J. Sloan (31-23), T. Corbin (8-20)",T. Corbin,8,20,28,2
UTA,UTA,2011,"J. Sloan (31-23), T. Corbin (8-20)",J. Sloan,31,23,54,1
UTA,UTA,2010,J. Sloan (53-29),J. Sloan,53,29,82,1
UTA,UTA,2009,J. Sloan (48-34),J. Sloan,48,34,82,1
UTA,UTA,2008,J. Sloan (54-28),J. Sloan,54,28,82,1
UTA,UTA,2007,J. Sloan (51-31),J. Sloan,51,31,82,1
UTA,UTA,2006,J. Sloan (41-41),J. Sloan,41,41,82,1
UTA,UTA,2005,J. Sloan (26-56),J. Sloan,26,56,82,1
UTA,UTA,2004,J. Sloan (42-40),J. Sloan,42,40,82,1
UTA,UTA,2003,J. Sloan (47-35),J. Sloan,47,35,82,1
UTA,UTA,2002,J. Sloan (44-38),J. Sloan,44,38,82,1
UTA,UTA,2001,J. Sloan (53-29),J. Sloan,53,29,82,1
MIA,MIA,2017,E. Spoelstra (41-41),E. Spoelstra,41,41,82,1
MIA,MIA,2016,E. Spoelstra (48-34),E. Spoelstra,48,34,82,1
MIA,MIA,2015,E. Spoelstra (37-45),E. Spoelstra,37,45,82,1
MIA,MIA,2014,E. Spoelstra (54-28),E. Spoelstra,54,28,82,1
MIA,MIA,2013,E. Spoelstra (66-16),E. Spoelstra,66,16,82,1
MIA,MIA,2012,E. Spoelstra (46-20),E. Spoelstra,46,20,66,1
MIA,MIA,2011,E. Spoelstra (58-24),E. Spoelstra,58,24,82,1
MIA,MIA,2010,E. Spoelstra (47-35),E. Spoelstra,47,35,82,1
MIA,MIA,2009,E. Spoelstra (43-39),E. Spoelstra,43,39,82,1
MIA,MIA,2008,P. Riley (15-67),P. Riley,15,67,82,1
MIA,MIA,2007,P. Riley (44-38),P. Riley,44,38,82,1
MIA,MIA,2006,"S. Van Gundy (11-10), P. Riley (41-20)",P. Riley,41,20,61,2
MIA,MIA,2006,"S. Van Gundy (11-10), P. Riley (41-20)",S. Van Gundy,11,10,21,1
MIA,MIA,2005,S. Van Gundy (59-23),S. Van Gundy,59,23,82,1
MIA,MIA,2004,S. Van Gundy (42-40),S. Van Gundy,42,40,82,1
MIA,MIA,2003,P. Riley (25-57),P. Riley,25,57,82,1
MIA,MIA,2002,P. Riley (36-46),P. Riley,36,46,82,1
MIA,MIA,2001,P. Riley (50-32),P. Riley,50,32,82,1
VANMEM,MEM,2017,D. Fizdale (43-39),D. Fizdale,43,39,82,1
VANMEM,MEM,2016,D. Joerger (42-40),D. Joerger,42,40,82,1
VANMEM,MEM,2015,D. Joerger (55-27),D. Joerger,55,27,82,1
VANMEM,MEM,2014,D. Joerger (50-32),D. Joerger,50,32,82,1
VANMEM,MEM,2013,L. Hollins (56-26),L. Hollins,56,26,82,1
VANMEM,MEM,2012,L. Hollins (41-25),L. Hollins,41,25,66,1
VANMEM,MEM,2011,L. Hollins (46-36),L. Hollins,46,36,82,1
VANMEM,MEM,2010,L. Hollins (40-42),L. Hollins,40,42,82,1
VANMEM,MEM,2009,"M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26)",L. Hollins,13,26,39,3
VANMEM,MEM,2009,"M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26)",J. Davis,0,2,2,2
VANMEM,MEM,2009,"M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26)",M. Iavaroni,11,30,41,1
VANMEM,MEM,2008,M. Iavaroni (22-60),M. Iavaroni,22,60,82,1
VANMEM,MEM,2007,"M. Fratello (6-24), T. Barone (16-36)",T. Barone,16,36,52,2
VANMEM,MEM,2007,"M. Fratello (6-24), T. Barone (16-36)",M. Fratello,6,24,30,1
VANMEM,MEM,2006,M. Fratello (49-33),M. Fratello,49,33,82,1
VANMEM,MEM,2005,"H. Brown (5-7), L. Hollins (0-4), M. Fratello (40-26)",M. Fratello,40,26,66,3
VANMEM,MEM,2005,"H. Brown (5-7), L. Hollins (0-4), M. Fratello (40-26)",L. Hollins,0,4,4,2
VANMEM,MEM,2005,"H. Brown (5-7), L. Hollins (0-4), M. Fratello (40-26)",H. Brown,5,7,12,1
VANMEM,MEM,2004,H. Brown (50-32),H. Brown,50,32,82,1
VANMEM,MEM,2003,"S. Lowe (0-8), H. Brown (28-46)",H. Brown,28,46,74,2
VANMEM,MEM,2003,"S. Lowe (0-8), H. Brown (28-46)",S. Lowe,0,8,8,1
VANMEM,MEM,2002,S. Lowe (23-59),S. Lowe,23,59,82,1
VANMEM,VAN,2001,S. Lowe (23-59),S. Lowe,23,59,82,1
BOS,BOS,2017,B. Stevens (53-29),B. Stevens,53,29,82,1
BOS,BOS,2016,B. Stevens (48-34),B. Stevens,48,34,82,1
